Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
LOSARTAN 50MG,,,,,,B,"Patients intolerant of ACE inhibitors, only in the treatment of i) Hypertensive patient with left ventricular hypertrophy ii) Hypertension in diabetics with proteinuria or nephropathy",,"Hypertension: Usual starting and maintenance dose: 50 mg once daily. Maximum increasing the dose to 100 mg once daily. Patients with intravascular volume-depletion starting dose of 25 mg once daily. Renal protection in Type 2 diabetic patients with proteinuria and hypertension, starting dose: 50 mg once daily, may be increased to 100 mg once daily based on blood pressure response",,,,,
LOSARTAN 100MG,,,,,,,,,,,,,,
TELMISARTAN 40MG,,,,,,A/KK,Hypertension in patients who cannot tolerate ACE inhibitors because of cough,,40mg - 80mg once daily,,,,,
TELMISARTAN 80MG,,,,,,,"i)Hypertension in patients who cannot tolerate ACE inhibitors because of cough ii)Reduction of the risk of myocardial infarction, stroke, or death from cardiovascular causes in patients 55 years or older at high risk of developing major cardiovascular events who are unable to take ACE inhibitors",," 
i) 40mg - 80mg once daily ii) 80mg once daily",,,,,
VALSARTAN 160MG & AMLODIPINE 10MG ,,,,,,A/KK,Essential hypertension in patients whose blood pressure is not adequately controlled by monotherapy,10 PT /KK (KUOTA),"Doses range from amlodipine besylate 5 mg/valsartan 160 mg to amlodipine besylate 10 mg/valsartan 320 mg ORALLY once daily, with dose titration occurring every 1 to 2 weeks if necessary. MAX amlodipine besylate 10 mg/valsartan 320 mg",,,,,
METHYLDOPA 250MG TABLET,,,,,,B,Hypertension,,"Adult: 250 mg 2 - 3 times daily, gradually increased at intervals of 2 or more days, maximum; 3 g/day. Elderly: initially 125 mg twice daily, increased gradually, maximum; 2 g daily. Child: Initially, 10 mg/kg or 300 mg/m2 daily in 2-4 divided doses; increase as necessary. Max: 65 mg/kg, 2 g/m2 or 3 g daily, whichever is least.",,,,,
PRAZOSIN HCL 1MG TABLET,,,,,,B,Hypertension,,"Initially 0.5 mg 2 - 3 times daily, the initial dose on retiring to bed at night; increased to 1 mg 2 - 3 times daily after 3 - 7 days: further increased if necessary to maximum 20 mg daily",,,,,
PRAZOSIN HCL 2MG TABLET,,,,,,,,,,,,,,
AMLODIPINE 5MG,,,,,,B,Hypertension,,5 mg once daily. Max: 10 mg once daily,,,,,
AMLODIPINE 10MG,,,,,,,,,,,,,,
DILTIAZEM HCL 30MG TABLET,,,,,,B,Treatment of angina pectoris in the following cases: i) inadequate response or intolerance to beta-blockers and Isosorbide Dinitrate ii) contraindication to beta-blockers iii) coronary artery spasm,,"Initially 30mg tds, may increase to 60mg tds (elderly initially twice daily; increased if necessary to 360 mg daily.",,,,,
FELODIPINE 5 MG EXTENDED RELEASE,,,,,,A/KK,Hypertension,,"Initiate at 5 mg once daily. Usual dose, 5 - 10 mg once daily in the morning",,,,,
FELODIPINE 10 MG EXTENDED RELEASE ,,,,,,,,,,,,,,
NIFEDIPINE 10MG TABLET,,,,,,B,Hypertension,,Initial dose of 10 mg twice daily. Usual range 10 - 30 mg 3 times daily. Maximum: 120 - 180 mg per day. Elderly: Dose reduction may be necessary.,,,,,
VERAPAMIL HCL 40MG TABLET,,,,,,B,i) Supraventricular tachyarrhythmias (SVT) prophylaxis ii) angina,,"ADULT: 40 - 80 mg 3-4 times daily. In oral long term therapy, max: 480 mg daily",,,,,
GLYCERYL TRINITRATE 0.5 mg TABLET,,,,,,C,Prophylaxis and treatment of angina and left ventricular failure,,0.5-1 mg sublingually may be repeated every 5 minutes until relief is obtained. Seek physician if the pain persists after a total of 3 tablets in a 15 minutes period.,,,,,
ISOSORBIDE DINITRATE 10 mg TABLET,,,,,,B,Prophylaxis and treatment for: i) Angina ii) Left ventricular failure,,"i) 30 - 120 mg daily in divided doses ii) 40 - 160 mg, up to 240 mg if required",,,,,
ADRENALINE ACID TARTRATE 1MG/ML INJECTION,,,,,,B,Cardiopulmonary resuscitation,,1 mg by intravenous injection repeated every 3-5 minutes according to response,,,,,
ADENOSINE 3MG/ML INJECTION,,,,,,B,Rapid conversion of paroxysmal supraventricular tachycardia to sinus rhythm,,"ADULT: Initially: 3 mg given as a rapid IV bolus (over 2 seconds). Second dose: If the first dose does not result in elimination of the supraventricular tachycardia with in 1 or 2 minutes, 6 mg should be given also as a rapid IV bolus. Third dose: If the second dose does not result in elimination of the supraventicular tachycardia with in 1-2 minutes, 12 mg should be given also as a rapid IV bolus",,,,,
ACETYLSALICYLIC ACID 100MG & GLYCINE 45MG TABLET,,,,,,B,"Prevention of myocardial infarct, stroke, vascular occlusion and deep vein thrombosis. Transient ischaemic attacks",,1 tablet daily,,,,,
ACETYLSALICYLIC ACID 150MG DISPERSIBLE TABLET,,,,,,C,"Initial treatment of cardiovascular disorders such as angina pectoris and myocardial infarction and for the prevention of cardiovascular events in patients at risk.
Other such uses include the treatment and prevention of cerebrovascular disorders such as stroke.",,150 mg to be taken daily. Dose to be individualised. Used in children under 16 years old is not recommended.,,,,,
CLOPIDOGREL 75MG TABLET,,,,,,A/KK,Adult patients suffering from myocardial infarction,20 TAB/KK (EMERGENCY TROLLEY ITEM ONLY),"Acute coronary syndrome Adult: 
For ST-elevation MI: In combination w/ aspirin: 75 mg once daily. Loading dose: oral 300 mg for patients <75 yr. Continue treatment for at least 4 weeks. 
 
For unstable angina, non-ST-elevation MI: In combination w/ aspirin: Initially, oral 300 mg loading dose, followed by oral 75 mg once daily for up to 12 months.
",,,,,
TICLOPIDINE HCL 250MG TABLET,,,,,,A/KK,i) Prevention of thrombotic stroke for patients who are sensitive /intolerant to Acetysalicylic Acid ii) Maintenance of coronary bypass surgery or angioplasty iii) Maintenance of patency of access in patients on chronic haemodialysis,,250 mg twice daily taken with food,,,,,
TRANEXAMIC ACID 250MG TABLET,,,,,,B,Haemorrhage associated with excessive fibrinolysis,,"ADULT: 1-1.5 g (15-25 mg/kg) 2-4 times daily. CHILD: 25 mg/kg/day 2-3 times daily. Menorrhagia (initiated when menstruation has started), 1 g 3 times daily for up to 4 days; maximum 4g daily.",,,,,
ATORVASTATIN 40MG,,,,,,B,Hypercholesterolaemia and coronary heart disease intolerant or not responsive to other forms of therapy,,10 mg once daily. Maximum: 80 mg daily,,,,,
FENOFIBRATE 145MG,,,,,,A/KK,"1) As second line therapy after failed gemfibrozil in patients: 
a) Hypercholesterolemia and hypertriglyceridemia alone or combined [type IIa,IIb,III and V dysplipidemias] in patients unresponsive to dietary and other non-pharmacological measures especially when there is evidence of associated risk factors 
b) Treatment of secondary hyperlipoproteinemias if hyperlipoprotenemia persists despite effective treatment of underlying disease c) Dyslipidemia in Type 2 Diabetes Mellitus 2) 
Diabetic retinopathy - indicated for the reduction in the progression of diabetic retinopathy in patients with type 2 diabetes and existing diabetic retinopathy.","20 PT/KK (KKS, KKB), 30 PT/KK (KKJ, KKBC), 40 PT/KK (KKTS), 50 PT/KK (KKTPG, KKTD) (KUOTA)","145mg once daily, with or without food",,,,,
GEMFIBROZIL 300MG CAPSULE,,,,,,A/KK,"Treatment of hyperlipoprotinaemias (TYPES IIA, IIB, III, IV, V)",,"ADULT: 1200 mg/day in 2 divided doses, 30 minutes before breakfast and dinner. Dose range from 0.9-1.5 g daily",,,,,
ROSUVASTATIN 20MG TABLET ,,,,,,A/KK,Dyslipidaemia not responsive to atorvastatin 40 mg or equivalent doses of other statins,"30 PT (KKBC, KKTS), 50 PT (KKS), 70 PT (KKTD), 80 PT (KKB), 100 PT (KKJ), 250 PT (KKTPG)  (KUOTA) ","Initially 5-10 mg once daily (5mg in patients with pre-disposing factors to myopathy), increased if necessary at intervals of at least 4 weeks to 20 mg once daily, increased after further 4 weeks to 40 mg daily ONLY in severe hypercholesterolemia with high cardiovascular risk. Patient of Asian origin, patients on concomitant ciclosporin/fibrate and patients with risk factors for myopathy/rhabdomyolysis (including personal/family history of muscular disorders/toxicity), the maximum dose should be 20 mg daily.",,,,,
SIMVASTATIN 10 mg TABLET,,,,,,B,Hypercholesterolaemia and coronary heart disease intolerant or not responsive to other forms of therapy,,10 - 20 mg once daily. Maximum: 80 mg daily,,,,,
SIMVASTATIN 40 mg TABLET,,,,,,,,,,,,,,
TRIMETAZIDINE 20MG TABLET,,,,,,B,Prophylactic treatment of episodes of angina pectoris,,20 mg 3 times daily,,,,,
AMINOPHYLLINE 25MG/ML INJECTION,,,,,,B,"Reversible airways obstruction, acute severe brochospasm",,Adult: Loading dose: 5 mg/kg (ideal body weight) or 250-500 mg (25 mg/ml) by slow inj or infusion over 20-30 min. Maintenance infusion dose: 0.5 mg/kg/hr. Max rate: 25 mg/min. Child: Loading dose: same as adult dose. Maintenance dose: 6 mth-9 yr: 1 mg/kg/hr and 10-16 yr: 0.8 mg/kg/hr.,,,,,
INDACATEROL MALEATE 110MCG & GLYCOPYRRONIUM BROMIDE 50MCG INHALATION POWDER HARD CAPSULES,,,,,,A/KK,As a once-daily maintenance bronchodilator treatment to relieve symptoms and reduce exacerbations in adult patients with chronic obstructive pulmonary disease (COPD).,"5 PT (KKBC, KKTD), 3PT (KKS, KKTPG,KKJ, KKB, KKTS)  (KUOTA)",One capsule inhalation daily.,,,,,
IPRATROPIUM BROMIDE 0.5MG & SALBUTAMOL 2.5MG PER UDV ,,,,,,B,Management of reversible bronchospasm associated with obstructive airway diseases,,"Acute attacks : 1 unit dose vial. In severe cases not relieved by 1 unit dose vial, 2 unit dose vials may require, patient should consult a doctor immediately. Maintenance : 1 unit dose vial 3 - 4 times daily",,,,,
IPRATROPIUM BROMIDE 20MCG & FENOTEROL 50MCG/DOSE INHALATION (BERODUAL),,,,,,B,Management of symptoms in chronic obstructive airway disorders with reversible bronchospasm such as bronchial asthma and chronic bronchitis with or without emphysema,,"ADULT & CHILD more than 6 years; Acute asthma 2 puffs. Severe cases: if breathing has not noticeably improved after 5 mins, 2 further puffs may be taken. Intermittent and long-term treatment 1-2 puffs for each administration, up to max 8 puffs/day (average: 1-2 puffs three times daily",,,,,
SALBUTAMOL 100MCG/DOSE INHALATION,,,,,,B,Asthma and other conditions associated with reversible airways obstruction,,ADULT : 100 - 200 mcg up to 3 - 4 times daily. CHILD : 100 mcg increased to 200 mcg if necessary,,,,,
SALBUTAMOL 0.5% INHALATION SOLUTION,,,,,,B,Asthma and other conditions associated with reversible airways obstruction,,2 ml may be inhaled up to 4 times daily over a period of 3 minutes per inhalation (0.5 ml diluted in 2.5 ml of normal saline by inhalation over 5 to 15 minutes),,,,,
SALBUTAMOL 2MG/5ML SYRUP,,,,,,B,Asthma and other conditions associated with reversible airways obstruction,,"CHILD 2 - 6 years : 1 - 2 mg 3 - 4 times daily, 6 - 12 years : 2 mg 3 -4 times daily",,,,,
TERBUTALINE SULPHATE 0.5MG/ML INJECTION,,,,,,B,"Bronchial asthma, chronic bronchitis, emphysema and other lung diseases where broncoconstriction is a complicating factor",,"SC, IM or slow IV : 250-500 mcg up to 4 times daily. CHILD 2 - 15 years 10mcg/kg to a maximum of 300 mcg. Continuous IV infusion, as a solution containing 3 - 5 mcg/ml, 1.5 - 5 mcg/minute for 8 - 10 hours; reduce dose for children",,,,,
THEOPHYLLINE 250MG LONG ACTING TABLET,,,,,,B,Reversible airways obstruction and acute severe asthma,,ADULT: 250 mg 2 times daily. CHILD under 12 years : Up to 10 mg/kg body weight 2 times daily,,,,,
BUDESONIDE 200MCG/DOSE INHALATION,,,,,,B,Maintenance treatment of asthma as prophylactic therapy especially if not fully controlled by bronchodilators,,"ADULT : 200 - 1600 mcg daily in 2 - 4 divided doses. Maintenance with twice daily dosing. CHILD more than 7 years 200 - 800 mcg, 2 - 7 years 200 - 400 mcg. To be taken orally in 2 - 4 divided doses",,,,,
BUDESONIDE 160MCG AND FORMOTEROL 4.5MCG INHALATION,,,,,,A/KK,"Category of prescriber A/KK: Regular treatment of asthma where use of a combination (inhaled corticosteroid and long-acting beta2-agonist) is appropriate:- Patients not adequately controlled with inhaled corticosteroids and ""as needed"" inhaled short-acting beta2-agonists. or - Patients already adequately controlled on both inhaled corticosteroids and long- acting beta2-agonists.","70 PT (KKTPG, KKTD, KKJ),  60 PT (KKBC, KKB), 40  PT (KKS, KKTS)  (KUOTA)","Asthma Maintenance therapy Adult ≥18 yr 160 mcg to 320 mcg bd. Some patients may require up to a max of 640 mcg bd. Adolescent 12-17 yr 160 mcg to 320 mcg bd. Childn 6-11 yr 160 mcg bd, <6 yr Not recommended. Maintenance & relief Adult and adolescent ≥12 yr 320 mcg/day either as 160 mcg bd or 320 mcg od either morning or evening. For some patients a maintenance dose of 320 mcg bd may be appropriate. Patients should take 160 mcg additional inhalation as needed in response to symptoms. If symptoms persist after a few minutes, an additional inhalation should be taken. Not more than 960 mcg should be taken on any single occasion. A total daily dose of more than 1280 mcg is not normally needed, however a total daily dose of up to 1920 mcg could be used for a limited period. Patients using more than 1280 mcg daily should seek medical advice, should be reassessed & their maintenance therapy reconsidered. Children & adolescent <12 yr: Not recommended.",,,,,
SALMETEROL 50MCG & FLUTICASONE PROPIONATE 250MCG INHALATION (SERITIDE),,,,,,A/KK,Category of prescriber A/KK: Regular treatment of reversible obstructive airways diseases including asthma. Category of prescriber A*: Chronic obstructive pulmonary disease including chronic bronchitis and emphysema,,i) ADULT and CHILD more than 12 years : 1 puff twice daily.,,,,,
GABAPENTIN 300MG CAPSULE,,,,,,A/KK,"CATEGORY A/KK: Treatment of various types of neuropathic pain, both peripheral (which includes diabetic neuropathy, post-herpetic neuralgia, trigeminal neuralgia) in adult more than 18 years.",PAIN FREE CLINIC ONLY ,"900-3600mg/day. Therapy may be initiated by administered 300mg TDS on day 1, or by titrating the dose as: 300mg once on day 1, 300mg BD on day 2, 300mg TDS on day 3. Thereafter, may be increased in 3 equally divided doses up to max 3600mg/day.",,,,,
PARACETAMOL 250MG/5ML SYRUP,,,,,,C+,Mild to moderate pain and pyrexia,,CHILD: 6 - 12 years: 250 - 500 mg per dose. Repeat every 4 - 6 hours when necessary. Maximum of 4 doses in 24 hours,,,,,
PARACETAMOL 125MG SUPPOSITORY,,,,,,C+,Symptomatic relief of fever and post operative pain whom cannot tolerate oral preparations.,,"ADULT & CHILDREN more than 12 years old: 500mg - 1g every 4-6 hours CHILD 6 - 12 years : 250 - 500 mg; 1 - 5 years : 125 - 250 mg; 3 - 11 months : 80 mg inserted every 4 - 6 hours if necessary, maximum 4 doses in 24 hours. INFANTS under 3 months should not be given Paracetamol unless advised by doctor; a dose of 10 mg/kg (5 mg/kg if jaundiced) is suitable.",,,,,
PARACETAMOL 250MG SUPPOSITORY,,,,,,B,,,,,,,,
PARACETAMOL 500MG TABLET,,,,,,C+,Mild to moderate pain and pyrexia,,"ADULT: 500 - 1000 mg every 4 - 6 hours, maximum of 4g daily.",,,,,
MORPHINE SULPHATE 10MG/ML INJECTION,,,,,, 1 - 12 months: 0.2 mg/kg body weight,For moderate to severe pain especially that associated with neoplastic disease, 1 - 5 years: 2.5 - 5 mg ,ADULT: 5-20mg SC or IM every 4 hours in terminal pain CHILD: Up to 1 month: 0.15 mg/kg body weight,,,,,
TRAMADOL HCL 50MG CAPSULE,,,,,,A/KK,"Moderate to severe acute or chronic pain (eg. Post-operative pain, chronic cancer pain and analgesia/pain relief for patients with impaired renal function)",,"ADULT: 50mg initially, can take another 50mg after 30 - 60 min if pain not relieved. Max 400 mg daily. CHILD: 1mg/kg/dose repeated every 6 hours (Max: 2mg/kg/dose and 100mg/dose)",,,,,
