Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Adrenaline Acid Tartrate (Epinephrine) 1 mg/ml Injection,-,Cardiovascular System > Cardiac Therapy,C01CA24-123-P30-01-XXX,Yes,APPL,B,Cardiopulmonary resuscitation,None,1 mg by intravenous injection repeated every 3-5 minutes according to response,"Hypertension, arrhythmias, nausea, vomiting, headache, shortness of breath, sneezing","Cardiac dilatation, coronary insufficiency. Within 2 weeks of MAOI use.Organic brain damage, narrow-angle glaucoma. Shock. Concurrent use with local anesthetics for injection of certain areas (eg; fingers, toes, ears); increased risk of vasoconstriction and sloughing of tissue. oncurrent use with cyclopropane or halogenated hydrocarbon anaesthetics; may produce fatal ventricular arrhythmias. Labor; may delay the second stage","Beta-blocking,alpha-adrenergic blockers agents,antihistamines,tricyclic antidepressants carvedilol, chlorpromazine, halothane, moclobemide, rocuronium, selegiline, timolol,methyldopa, diuretics, oxytoxic drugs","Elderly patients, patients with; CV disease, pulmonary oedema, hypertension, hyperthyroidism, diabetes, psychoneurotic illness, asthma, prefibrillatory rhythm, or anesthetic cardiac acidents. Bronchial asthma/emphysema,cerebrovascular hemorrhage, pregnancy, lactation, children",False
Acriflavine 0.1% Lotion,-,Dermatologicals > Antiseptics and Disinfectants,D08AA03-000-L60-01-XXX,Yes,APPL,C+,"Infected skin, lesions, cuts, abrasions, wounds and burns.",None,Apply undiluted three times daily to the affected part .,Hypersensitivity to acriflavine compound,Hypersensitivity to acriflavine compound.,Not known,"Prolonged application, may stain skin, hair & fabric.",False
Diltiazem HCl 30 mg Tablet,,Cardiovascular System > Calcium Channel Blockers,C08DB01-110-T10-01-XX,Yes,APPL,B,i) Treatment of angina ii) Hypertension,None,"Initially 30mg tds, may increase to 60mg tds (elderly initially twice daily; increased if necessary to 360 mg daily.","Headache, dizziness, peripheral oedema, gingival hyperplasia, AV block, bradycardia","Acute myocardial infarction with pulmonary congestion, atrial fibrillation or flutter (IV dose forms): i) Accessory bypass tract (Wolff-Parkinson-White, Lown-Ganong-Levine) ii) Short PR syndromes. Hypersensitivity to this or other calcium channel blocker, patients with sick sinus syndrome , 2nd- or 3rd-degree AV block; pregnancy, lactation","Aspirin, beta-adrenergic blockers, carbamazepine, cimetidine, cisapride, cyclosporin, digitoxin, digoxin, enflurane, lithium, lovastatin, methylprednisolone, midazolam, nifedipine, oral anticoagulants, phenytoin, quinidine, rifampin, saquinavir, simvastatin, clonidine, CYP3A4 inducer","AV block (first degree), combination therapy with beta-blockers (with left ventricular dysfunction), congestive heart failure, gastrointestinal hypermotility (extended release dose forms), gastrointestinal obstruction (extended release dose forms), hypotension, impaired liver function (reduced metabolism, enhanced response). Impaired renal function. Paroxysmal supraventricular tachycardia conversion, persistent dermatologic reactions induced by calcium antagonists have progressed to erythema multiforme or exfoliative dermatitis",False
Albendazole 200mg Tablet,Zentel,"Antiparasitic Products, Insecticides and Repellents > Anthelmintics",P02CA03-000-T10-01-XXX,Yes,APPL,C+,i) Single or mixed infestations of intestinal parasites ii) Strongyloides infection,C+,i)Child 12-24months: 200mg as a single dose ii) Adult & Child above 2 years: 400mg as a single dose for 3 consecutive days; Child 12 - 24months: 200mg as a single dose for 3 consecutive days,"Gastrointestinal discomfort, dizziness, headache, erythema multiforme, Stevens-Johnson syndrome, agranulocytosis, aplastic anemia, leukopenia, pancytopenia, thrombocytopenia, hepatotoxicity","Patients with hypersensitivity to albendazole or to the benzimidazole drug class, pregnancy (avoid pregnancy for at least one month following therapy)",Concurrent use with dexamethasone may result in an increased risk of albendazole adverse effects.,"Discontinue therapy if liver function test elevations are significant, retinal lesions, cerebral hypertensive episodes, pregnancy, hepatic disease, retinal lesions",False
Diosmin 450mg and Hesperidin 50mg Tablet,,Cardiovascular System > Vasoprotectives,C05CA533-931-T10-01-XX,No,LP,B,i) Haemorrhoids ii) Chronic venous insufficiency,None,"i) Acute attack: 6 tablets daily for the first 4 days, then 4 tablets daily in 2 divided doses for 3 days and 2 tablets thereafter. Chronic: 2 tablets daily ii) 2 tab daily with meals","Minor gastrointestinal disturbances, neurovegetative disorders",Hypersensitivity to any component of preparation,Not known,Lactation,False
Diphenoxylate HCl 2.5mg with Atropine Sulphate 0.025mg Tablet,,"Alimentary Tract and Metabolism > Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",A07DA01-922-T10-01-XXX,Yes,APPL,B,Symptomatic treatment of acute and chronic diarrhoea,None,"ADULT: 2 tablets 4 times daily, later reduced when diarrhoea is controlled. Maintenance: 2 tablets once daily as needed (Max: 8 tablets daily)","Euphoria, paraesthesia, central nervous system effects, anoneurotic oedema and other allergic reactions, toxic megacolon, paralytic ileus, gastrointestinal disturbance. Atropine effects: Hyperthermia, tachycardia, urinary retention, flushing, dry skin and mucous membranes. At therapeutic dose- dryness of the mouth, difficulty in swallowing, thirst, reduce bronchial secretion, mydriasis with cycloplegia","Hypersensitivity to diphenoxylate hydrochloride or atropine, jaundice, acute diarrhoeal conditions like antibiotic associated diarrhoea, pseudomembranous enterocolitis, acute ulcerative colitis and infective diarrhoeas. Paralytic ileus and a ganglionosis. Not recommended for use in children","Barbiturates, tranquilizers, alcohol, MAOIs","Advanced hepatorenal disease, abnormal liver function, Down Syndrome",False
Alfacalcidol 1mcg Capsule,one-alpha,Alimentary Tract and Metabolism > Vitamins,A11CC03-000-C10-02-XXX,No,LP,A/KK,i) Chronic kidney disease mineral bone disorder ii) Osteoporosis iii) Hypoparathyroidism and pseudohypoparathyroidism iv) Rickets and osteomalacia,A/KK; A/KK,Initial dose ADULT and CHILD above 20kg body weight : 1 mcg daily; CHILD under 20kg body weight : 0.05 mcg/kg/day. Maintenance dose : 0.25 mcg to 2 mcg daily Dosing is individualised based on serum calcium level and according to product insert/protocol,"Hypercalcaemia-stop immediately until serum calcium levels return to normal (in about one week) and then resumed at half the previous dose. Anorexia, nausea, vomiting, diarrhoea, lassitude, polyuria, sweating, headache, thirst, vertigo, pruritus, rash, urticaria,hypercalciuria and ectopic calcification. In case of renal impairment, hyperphosphataemia. In hypercalcaemic dialysis patients, possibility of calcium influx from the dialysate should be considered","Hypercalcaemia, metastatic calcification, hyperphosphataemia (except when occurring with hypoparathyroidism), hypermagnesaemia, vitamin D overdose,known hypersensitivity to alfacalcidol, vitamin D or any of its analogues and derivatives.","Thiazide diuretics, calcium, phosphates, carbamazepine, phenobarbitone,","Pregnancy, lactation, renal impairment, infants, elderly. Serum levels of calcium should be monitor regularly (weekly to monthly, depending in the progress of the patient) especially in children, renal impairment and patients receiving high doses. Caution in hypercalciuria esp in those with history of renal calculi and patients being treated with cardioactive glycosides or digitalis.",True
Diphtheria and Tetanus Vaccine Injection,Double antigen,Antiinfectives for Systemic Use > Vaccines,J07AM51963P3001XX,Yes,LP,C+,Immunisation against diphtheria and tetanus.,None,0.5ml by deep SC or IM injection. Dosing is according to Immunisation Schedule under NIP.,"Pain, erythema or nodule at the injection site, fever, malaise, irritability,",Hypersensitivity to any component of the vaccine,Chloramphenicol may inhibit immunologic response of tetanus toxoid,Thrombocytopenia or other coagulation disorders. Adrenaline injection must be immediately available should acute anaphylactic reaction occur due to any component of the vaccine.,False
Calamine Lotion,-,"Dermatologicals > Antipruritics, incl. Antihistamines, Anesthetics, etc.",D04AX00000L8001XX,Yes,APPL,C+,"Soothes and relieves nappy rashes, prickly heat, minor skin irritations, insect bites and sunburn, Pruritic skin conditions.",None,"Apply to the skin as required and allow to dry, 1-3 times daily",Rash or irritation,Not known.,Not known,Avoid contact with eyes and other mucous membranes. Not to be used on open wounds or burns.,False
Morphine Sulphate 10mg/ml Injection,-,Nervous System > Analgesics,N02AA01-183-P30-01-XXX,Yes,APPL,B,i) For moderate to severe pain especially that associated with neoplastic disease ii) As an analgesic adjunct in general anaesthesia., 1 - 5 years: 2.5 - 5 mg ,"ADULT: 5 to 20 mg every 4 hours, intravenously (IV or IM), 2.5 to 15mg should be given by slow injection. CHILD: - Adjusted according to body weight, 0.1 – 0.2 mg /kg every 4 hours. No dose should exceed 15 mg. - Analgesic Indication (i) subcutaneous, 100 mcg to 200 mcg (0.1 to 0.2 mg) per kg of body weight every four hours as needed, not to exceed 15mg per dose. Indication (ii) Intravenous, 50 to 100 mcg (0.05 mg to 0.1 mg) per kg of body weight, administered very slowly.","Constipation, nausea, vomiting, drowsiness, dry mouth, psychomimetic effect (dysphoria, hallucination, nightmare), urinary retention, respiratory depression (rare). Convulsions; dry mouth, headache, vertigo; palpitations; hypothermia; pruritus, urticaria; tachycardia, bradycardia; blurred vision; miosis; dependency","Acute bronchial asthma, respiratory insufficiency, severe CNS depression, GI obstruction, biliary colic (these conditions are not contra-indications in patients who are terminally ill), hypersensitivity to morphine, MAOIs","MAOIs: hypotension and exaggeration of CNS and respiratory depressant effects. Naltrexone: precipitation of opioid withdrawal symptoms. Cimetidine : morphine toxicity (CNS depression, respiratory depression)","Children less then 1 year, neonates, premature infants, elderly, chronic obstructive airway disease, pregnancy, lactation, renal and hepatic impairment, hypothyroidism",False
Doxycycline 100mg Capsule,,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01AA02-000-C10-01-XXX,Yes,APPL,B,Prophylaxis and treatment for infections due to susceptible organisms.,None,Prophylaxis 100-200mg daily or weekly Treatment 100-300mg daily Dosing is individualised based on type of infections and according to product insert/protocol,"GI distress, anorexia, maculopapular and erythematous rash, tooth discolouration in children","Hypersensitivity to tetracyclines/doxycycline, porphyria, pregnancy, lactation, children less than 12 years","Anticoagulants, penicillin, antacids, ferum, acitretin, isotretinoin, methotrexate","Lactation, myasthenia gravis, hepatic or renal impairment",False
Benzyl Benzoate 25 % Emulsion (Adult),-,"Antiparasitic Products, Insecticides and Repellents > Antiprotozoals",P03AX01000L2002XX,Yes,APPL,C+,Scabies for adult and children more than 12 years old.,None,"After bath, apply over the whole body, neck down and leave on for 24 hours then wash off. Reapply for another 24 hours, the first repeat application should be within 5 days of the initial application, a third application may be required in some cases.","May be irritant to the skin of some patients, burning sensation especially on genitalia and excoriations occasionally rashes, stinging and contact dermatitis, local irritation, particularly in children, splash contact with benzyl benzoate may produce irritation to the eyes and mucous membranes",Hypersensitivity to benzyl benzoate,Not known,"Contact with mucous membranes, head, face, broken or inflammed skin, avoid contact with eyes. Not recommended for children, lactation (withhold during treatment)",False
Ticlopidine HCl 250 mg Tablet,,Blood and Blood Forming Organs > Antithrombotic Agents,B01AC05110T1001XX,No,Government Contract,A/KK,i) Prevention of thrombotic stroke for patients who are sensitive /intolerant to Acetysalicylic Acid ii) Maintenance of coronary bypass surgery or angioplasty iii) Maintenance of patency of access in patients on chronic haemodialysis,None,250 mg twice daily taken with food,"Minor gastrointestinal disorders. Rarely cutaneous allergic manifestations, thrombocytopenia, cholestatic icterus and or rise in transaminases. Neutropenia and thrombocytopenia (monitor full blood count weekly initially)","Hypersensitivity to ticlopidine or its components, patients with active bleeding disorders. Neutropenia or thrombocytopenia, severe liver impairment",Any drugs likely to produce coagulation,"Predisposition to bleeding, including gastric or duodenal ulcers. Underlying haematologic disorders. Concomitant oral anticoagulant therapy or nonsteroidal antiinflammatory agents (including aspirin). Liver disease, patients undergoing lumbar puncture or surgical procedure. Ticlopidine should be discontinued if the absolute neutrophil count falls below 1200/mm3 or if the platelet count falls below 80,000/mm3. If possible, ticlopidine should be discontinued 10 to 14 days prior to surgery",True
Efavirenz 100mg Capsule,Stocrin,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AG03-000-C10-02-XXX,Yes,LP,A*,Combination therapy for HIV infections with a protease inhibitor and or Nucleoside Reverse Transcriptase Inhibitors (NRTIs),None,"ADULT: 600 mg once daily. ADOLESCENT & CHILD less than 17 years, more than 40 kg: 600 mg once daily, 32.5 - less than 40 kg: 400 mg once daily, 25 - less than 32.5 kg: 350 mg once daily, 20 - less than 25 kg: 300 mg once daily, 15 - less than 20 kg: 250 mg once daily, 13 - less than 15 kg: 200 mg once daily. No studies in children less than 3 years or less than 13 kg. Formulation unsuitable for children less than 40 kg","Dizziness, nausea, headache, fatigue, rash including erythema multiforme & Stevens-Johnson Syndrome, allergic reaction, abnormal coordination, ataxia, confusion, stupor, vertigo, vomiting, diarrhoea, hepatitis, impaired concentration, insomnia, anxiety, abnormal dreams, somnolence, depression, abnormal thinking, agitation, amnesia, delirium, emotional liability, euphoria, hallucination and psychosis Direktif NPRA.600-1/9/13 (14) - Encephalopathy","Hypersensitivity, concomitant terfenadine, cisapride, midazolam, triazolam ergot derivatives and voriconazole (adjusted dose for both voriconazole and efavirenz are needed)","Amprenavir, indinavir, ritonavir, saquinavir, rifamycins, clarithromycin, oral contraceptives, anticonvulsants, methadone, St. John's wort, sertraline, cetirizine, lorazepam. Other compounds that are substrates of CYP3A4 may have decreased plasma concentration when coadministered with efavirenz","- Must not be used as a single agent to treat HIV or added on as a sole agent to a failing regimen. - Monitor psychiatric adverse experiences, nervous system symptoms and cholesterol. - Caution use in patient with liver disease, history of seizures, known or suspected history of hepatitis B or C infections and in patients with other medications associated with liver toxicity. - May affect ability to drive or operate machinery. - Pregnancy should be avoided in women receiving efavirenz. NPRA Safety Alert (29 Jan 2021) - Risk of late onset neurotoxicity",True
Alprazolam 0.25mg Tablet,Xanax,Nervous System > Psycholeptics,N05BA12-000-T10-01-XXX,No,LP,A/KK,Anxiety disorders,None,"0.25 - 0.5 mg 3 times daily (elderly or delibitated 0.25 mg 2-3 times daily), increased if necessary to a total dose of 3 mg/day. Not recommended for children","Drowsiness, blurred vision, coordination disorder, gastrointestinal disturbance, agitation, lightheadedness, dry mouth, depression, headache, confusion, hypotension, syncope, tachycardia, seizures, respiratory depression, coma, constipation, diarrhoea, nausea, vomiting, insomnia, nasal congestion, rigidity, increased salivation, dermatitis, sedation","Hypersensitivity to benzodiazepines, acute narrow angle glaucoma, concomitant use of ketoconazole/ itraconazole, CNS depression","Ketoconazole, fluconazole, itraconazole, contraceptives; increased alprazolam serum concentrations and potential alprazolam toxicity. Omeprazole, erythromycin, clarithromycin, cimetidine; benzodiazepine toxicity. Sertraline; increased risk of psychomotor impairment and sedation. Fluoxetine; increased risk of alprazolam toxicity. Fluvoxamine; increased risk of CNS side effects. Ritonavir; increased plasma concentrations of alprazolam and enhanced alprazolam effects. Antihistamine/decongestant combinations, antipsychotic, ethanol, mirtazapine, phenothiazines, venlafaxine;increased risk of CNS depression, psychomotor impairment. Sedative/hypnotics, tricyclic antidepressants; CNS depression. Potentiates action of alcohol. Reduced concentration by 50% with cigarette smoking.","Avoid operating vehicles or machinery, abuse prone patient, pregnancy and breastfeeding, renal or hepatic dysfunction, elderly patients, obesity, untreated open angle glaucoma, impaired pulmonary function. Prolonged use can lead to dependence",True
